"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"163","aquest",1,6,"Catalan",0.00142247510668563,8,7
"164","compromís",1,9,"Catalan",0.00142247510668563,5,7
"165","Proclama",1,8,"Catalan",0.00142247510668563,11,7
"166","ideal",1,5,"Catalan",0.00142247510668563,5,8
"167","comú",1,4,"Catalan",0.00142247510668563,2,8
"168","assolir",1,7,"Catalan",0.00142247510668563,2,8
"169","fi",1,2,"Catalan",0.00142247510668563,1,8
"170","institució",1,10,"Catalan",0.00142247510668563,11,8
"171","inspirant",1,9,"Catalan",0.00142247510668563,6,8
"172","constantment",1,12,"Catalan",0.00142247510668563,3,8
"173","promoguin",1,9,"Catalan",0.00142247510668563,14,8
"174","mitjançant",1,10,"Catalan",0.00142247510668563,7,8
"175","ensenyament",1,11,"Catalan",0.00142247510668563,12,8
"176","educació",1,8,"Catalan",0.00142247510668563,4,8
"177","assegurin",1,9,"Catalan",0.00142247510668563,6,8
"178","mesures",1,7,"Catalan",0.00142247510668563,6,8
"179","progressives",1,12,"Catalan",0.00142247510668563,6,8
"180","internacionals",1,14,"Catalan",0.00142247510668563,6,8
"181","seu",1,3,"Catalan",0.00142247510668563,7,8
"182","aplicació",1,9,"Catalan",0.00142247510668563,2,8
"183","universals",1,10,"Catalan",0.00142247510668563,3,8
"184","efectius",1,8,"Catalan",0.00142247510668563,5,8
"185","territoris",1,10,"Catalan",0.00142247510668563,9,8
"186","jurisdicció",1,11,"Catalan",0.00142247510668563,13,8
"187","neixen",1,6,"Catalan",0.00142247510668563,9,8
"188","lliures",1,7,"Catalan",0.00142247510668563,7,8
"189","dotats",1,6,"Catalan",0.00142247510668563,4,8
"190","raó",1,3,"Catalan",0.00142247510668563,2,8
"191","comportar",1,9,"Catalan",0.00142247510668563,8,8
"192","fraternalment",1,13,"Catalan",0.00142247510668563,12,8
"193","uns",1,3,"Catalan",0.00142247510668563,10,8
"194","altres",1,6,"Catalan",0.00142247510668563,6,8
"195","proclamats",1,10,"Catalan",0.00142247510668563,4,8
"196","raça",1,4,"Catalan",0.00142247510668563,10,9
"197","color",1,5,"Catalan",0.00142247510668563,5,9
"198","sexe",1,4,"Catalan",0.00142247510668563,2,9
"199","llengua",1,7,"Catalan",0.00142247510668563,7,9
"200","religió",1,7,"Catalan",0.00142247510668563,8,9
"201","opinió",1,6,"Catalan",0.00142247510668563,4,9
"202","política",1,8,"Catalan",0.00142247510668563,7,9
"203","mena",1,4,"Catalan",0.00142247510668563,6,9
"204","origen",1,6,"Catalan",0.00142247510668563,6,9
"205","nacional",1,8,"Catalan",0.00142247510668563,5,9
"206","fortuna",1,7,"Catalan",0.00142247510668563,7,9
"207","naixement",1,9,"Catalan",0.00142247510668563,7,9
"208","condició",1,8,"Catalan",0.00142247510668563,3,9
"209","farà",1,4,"Catalan",0.00142247510668563,7,9
"210","basada",1,6,"Catalan",0.00142247510668563,9,9
"211","estatut",1,7,"Catalan",0.00142247510668563,7,9
"212","polític",1,7,"Catalan",0.00142247510668563,9,9
"213","jurídic",1,7,"Catalan",0.00142247510668563,10,9
"214","internacional",1,13,"Catalan",0.00142247510668563,9,9
"215","país",1,4,"Catalan",0.00142247510668563,9,9
"216","territori",1,9,"Catalan",0.00142247510668563,9,9
"217","qual",1,4,"Catalan",0.00142247510668563,4,9
"218","pertanyi",1,8,"Catalan",0.00142247510668563,8,9
"219","administració",1,13,"Catalan",0.00142247510668563,10,9
"220","fiduciària",1,10,"Catalan",0.00142247510668563,8,9
"221","autònom",1,7,"Catalan",0.00142247510668563,6,9
"222","limitació",1,9,"Catalan",0.00142247510668563,6,9
"223","sobirania",1,9,"Catalan",0.00142247510668563,9,9
"224","seguretat",1,9,"Catalan",0.00142247510668563,9,9
"225","servitud",1,8,"Catalan",0.00142247510668563,6,9
"226","tràfic",1,6,"Catalan",0.00142247510668563,9,9
"227","esclaus",1,7,"Catalan",0.00142247510668563,6,9
"228","prohibits",1,9,"Catalan",0.00142247510668563,10,9
"229","totes",1,5,"Catalan",0.00142247510668563,5,9
"230","llurs",1,5,"Catalan",0.00142247510668563,9,9
"231","formes",1,6,"Catalan",0.00142247510668563,8,9
"232","tortures",1,8,"Catalan",0.00142247510668563,4,9
"233","ni",1,2,"Catalan",0.00142247510668563,5,9
"234","penes",1,5,"Catalan",0.00142247510668563,9,9
"235","tractes",1,7,"Catalan",0.00142247510668563,3,9
"236","cruels",1,6,"Catalan",0.00142247510668563,7,10
"237","inhumans",1,8,"Catalan",0.00142247510668563,14,10
"238","degradants",1,10,"Catalan",0.00142247510668563,1,10
"239","arreu",1,5,"Catalan",0.00142247510668563,6,10
"240","personalitat",1,12,"Catalan",0.00142247510668563,4,10
"241","jurídica",1,8,"Catalan",0.00142247510668563,8,10
"242","davant",1,6,"Catalan",0.00142247510668563,10,10
"243","violi",1,5,"Catalan",0.00142247510668563,8,10
"244","incitació",1,9,"Catalan",0.00142247510668563,9,10
"245","prop",1,4,"Catalan",0.00142247510668563,11,10
"246","tribunals",1,9,"Catalan",0.00142247510668563,10,10
"247","competents",1,10,"Catalan",0.00142247510668563,7,10
"248","empari",1,6,"Catalan",0.00142247510668563,9,10
"249","violin",1,6,"Catalan",0.00142247510668563,5,10
"250","reconeguts",1,10,"Catalan",0.00142247510668563,10,10
"251","constitució",1,11,"Catalan",0.00142247510668563,11,10
