"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"217","ielezwe",1,7,"Swahili",0.000561797752808989,5,5
"218","mashuleni",1,9,"Swahili",0.000561797752808989,13,5
"219","vyuo",1,4,"Swahili",0.000561797752808989,7,5
"220","vinginevyo",1,10,"Swahili",0.000561797752808989,7,5
"221","UMOJA",1,5,"Swahili",0.000561797752808989,6,5
"222","WA",1,2,"Swahili",0.000561797752808989,6,5
"223","MATAIFA",1,7,"Swahili",0.000561797752808989,8,5
"224","ofisi",1,5,"Swahili",0.000561797752808989,7,5
"225","IDARA",1,5,"Swahili",0.000561797752808989,4,5
"226","HABARI",1,6,"Swahili",0.000561797752808989,5,5
"227","UTANGULIZI",1,10,"Swahili",0.000561797752808989,4,5
"228","kukiri",1,6,"Swahili",0.000561797752808989,10,5
"229","msingi",1,6,"Swahili",0.000561797752808989,9,5
"230","duniani",1,7,"Swahili",0.000561797752808989,11,6
"231","kutojali",1,8,"Swahili",0.000561797752808989,10,6
"232","kudharau",1,8,"Swahili",0.000561797752808989,6,6
"233","kumeletea",1,9,"Swahili",0.000561797752808989,8,6
"234","vya",1,3,"Swahili",0.000561797752808989,6,6
"235","kishenzi",1,8,"Swahili",0.000561797752808989,12,6
"236","ambavyo",1,7,"Swahili",0.000561797752808989,5,6
"237","vimeharibu",1,10,"Swahili",0.000561797752808989,9,6
"238","sa",1,2,"Swahili",0.000561797752808989,3,6
"239","babu",1,4,"Swahili",0.000561797752808989,12,6
"240","itawafany",1,9,"Swahili",0.000561797752808989,3,6
"241","wafurahie",1,9,"Swahili",0.000561797752808989,8,6
"242","kusema",1,6,"Swahili",0.000561797752808989,8,6
"243","kusadiki",1,8,"Swahili",0.000561797752808989,7,6
"244","kutoogopa",1,9,"Swahili",0.000561797752808989,8,6
"245","m",1,1,"Swahili",0.000561797752808989,2,6
"246","ekwisha",1,7,"Swahili",0.000561797752808989,7,6
"247","kutangazwa",1,10,"Swahili",0.000561797752808989,6,6
"248","hamu",1,4,"Swahili",0.000561797752808989,7,6
"249","ili",1,3,"Swahili",0.000561797752808989,9,6
"250","asishurut",1,9,"Swahili",0.000561797752808989,5,6
"251","izwe",1,4,"Swahili",0.000561797752808989,11,6
"252","kuomba",1,6,"Swahili",0.000561797752808989,4,6
"253","maasi",1,5,"Swahili",0.000561797752808989,8,6
"254","kupinga",1,7,"Swahili",0.000561797752808989,10,6
"255","dhuluma",1,7,"Swahili",0.000561797752808989,2,6
"256","uonevu",1,6,"Swahili",0.000561797752808989,4,6
"257","ziwe",1,4,"Swahili",0.000561797752808989,5,6
"258","ulinzi",1,6,"Swahili",0.000561797752808989,4,6
"259","kabisa",1,6,"Swahili",0.000561797752808989,8,6
"260","u",1,1,"Swahili",0.000561797752808989,10,6
"261","husiano",1,7,"Swahili",0.000561797752808989,3,6
"262","kirafiki",1,8,"Swahili",0.000561797752808989,9,6
"263","ti",1,2,"Swahili",0.000561797752808989,6,6
"264","wamethibitisha",1,14,"Swahili",0.000561797752808989,3,6
"265","tena",1,4,"Swahili",0.000561797752808989,1,6
"266","Mkataba",1,7,"Swahili",0.000561797752808989,8,6
"267","thamani",1,7,"Swahili",0.000561797752808989,11,6
"268","usawa",1,5,"Swahili",0.000561797752808989,12,6
"269","wamekata",1,8,"Swahili",0.000561797752808989,4,6
"270","shauri",1,6,"Swahili",0.000561797752808989,3,6
"271","zimeahidi",1,9,"Swahili",0.000561797752808989,3,6
"272","kuheshimu",1,9,"Swahili",0.000561797752808989,2,6
"273","kuzitambua",1,10,"Swahili",0.000561797752808989,4,6
"274","sana",1,4,"Swahili",0.000561797752808989,5,6
"275","kua",1,3,"Swahili",0.000561797752808989,6,6
"276","kutimiza",1,8,"Swahili",0.000561797752808989,8,6
"277","ahadi",1,5,"Swahili",0.000561797752808989,3,6
"278","basi",1,4,"Swahili",0.000561797752808989,5,6
"279","KUU",1,3,"Swahili",0.000561797752808989,2,6
"280","linatangaza",1,11,"Swahili",0.000561797752808989,4,6
"281","HII",1,3,"Swahili",0.000561797752808989,2,6
"282","ULIMWENGU",1,9,"Swahili",0.000561797752808989,7,6
"283","nguzo",1,5,"Swahili",0.000561797752808989,13,6
"284","am",1,2,"Swahili",0.000561797752808989,8,6
"285","bayo",1,4,"Swahili",0.000561797752808989,12,6
"286","hatimaye",1,8,"Swahili",0.000561797752808989,1,6
"287","daima",1,5,"Swahili",0.000561797752808989,9,6
"288","watajitahidi",1,12,"Swahili",0.000561797752808989,8,6
"289","jinsi",1,5,"Swahili",0.000561797752808989,2,6
"290","Na",1,2,"Swahili",0.000561797752808989,4,6
"291","ma",1,2,"Swahili",0.000561797752808989,8,6
"292","yatajitahidi",1,12,"Swahili",0.000561797752808989,4,6
"293","kuzifanya",1,9,"Swahili",0.000561797752808989,7,6
"294","zifahamike",1,10,"Swahili",0.000561797752808989,7,6
"295","zinaowatawala",1,13,"Swahili",0.000561797752808989,4,6
"296","hadhi",1,5,"Swahili",0.000561797752808989,4,6
"297","zao",1,3,"Swahili",0.000561797752808989,6,6
"298","wamejaliwa",1,10,"Swahili",0.000561797752808989,9,6
"299","akili",1,5,"Swahili",0.000561797752808989,5,6
"300","hivyo",1,5,"Swahili",0.000561797752808989,4,6
"301","watendeane",1,10,"Swahili",0.000561797752808989,9,6
"302","kindugu",1,7,"Swahili",0.000561797752808989,9,6
"303","umeelezwa",1,9,"Swahili",0.000561797752808989,6,6
"304","Y",1,1,"Swahili",0.000561797752808989,2,6
"305","aani",1,4,"Swahili",0.000561797752808989,4,6
"306","kubaguana",1,9,"Swahili",0.000561797752808989,7,6
"307","fikara",1,6,"Swahili",0.000561797752808989,11,6
"308","kizazi",1,6,"Swahili",0.000561797752808989,5,6
"309","Juu",1,3,"Swahili",0.000561797752808989,6,6
"310","usifanye",1,8,"Swahili",0.000561797752808989,9,6
"311","kutegem",1,7,"Swahili",0.000561797752808989,6,6
"312","ea",1,2,"Swahili",0.000561797752808989,4,6
"313","uhusiano",1,8,"Swahili",0.000561797752808989,5,6
"314","mengi",1,5,"Swahili",0.000561797752808989,4,6
"315","ne",1,2,"Swahili",0.000561797752808989,7,6
"316","haidhuru",1,8,"Swahili",0.000561797752808989,2,6
"317","inayojitawala",1,13,"Swahili",0.000561797752808989,1,7
"318","udhamini",1,8,"Swahili",0.000561797752808989,5,7
"319","isiyojitawala",1,13,"Swahili",0.000561797752808989,9,7
"320","inayotawaliwa",1,13,"Swahili",0.000561797752808989,4,7
"321","asifanywe",1,9,"Swahili",0.000561797752808989,4,7
"322","mtumwa",1,6,"Swahili",0.000561797752808989,7,7
"323","mt",1,2,"Swahili",0.000561797752808989,6,7
"324","utumwa",1,6,"Swahili",0.000561797752808989,6,7
"325","biashara",1,8,"Swahili",0.000561797752808989,5,7
"326","marufuku",1,8,"Swahili",0.000561797752808989,5,7
"327","asiteswe",1,8,"Swahili",0.000561797752808989,6,7
"328","asiadhibiwe",1,11,"Swahili",0.000561797752808989,6,7
"329","asidharauliwe",1,13,"Swahili",0.000561797752808989,6,7
"330","kutendewa",1,9,"Swahili",0.000561797752808989,8,7
"331","kinyama",1,7,"Swahili",0.000561797752808989,2,7
"332","kikatili",1,8,"Swahili",0.000561797752808989,4,7
"333","kutambulika",1,11,"Swahili",0.000561797752808989,5,7
"334","Kufungu",1,7,"Swahili",0.000561797752808989,8,7
"335","unaoweza",1,8,"Swahili",0.000561797752808989,6,7
"336","yanay",1,5,"Swahili",0.000561797752808989,3,7
"337","oweza",1,5,"Swahili",0.000561797752808989,5,7
"338","kuleta",1,6,"Swahili",0.000561797752808989,4,7
"339","kutetewa",1,8,"Swahili",0.000561797752808989,3,7
"340","kuvunjiwa",1,9,"Swahili",0.000561797752808989,8,7
"341","anazostahili",1,12,"Swahili",0.000561797752808989,4,7
"342","asikamatwe",1,10,"Swahili",0.000561797752808989,4,7
"343","asifungiwe",1,10,"Swahili",0.000561797752808989,8,7
"344","kuhamishwa",1,10,"Swahili",0.000561797752808989,15,7
"345","lililo",1,6,"Swahili",0.000561797752808989,6,7
"346","lisilo",1,6,"Swahili",0.000561797752808989,2,7
"347","upendeleo",1,9,"Swahili",0.000561797752808989,8,7
"348","ku",1,2,"Swahili",0.000561797752808989,9,7
"349","toa",1,3,"Swahili",0.000561797752808989,9,7
"350","uamuzi",1,6,"Swahili",0.000561797752808989,6,7
"351","yanayomhusu",1,11,"Swahili",0.000561797752808989,4,7
"352","anaeshtakiwa",1,12,"Swahili",0.000561797752808989,11,7
"353","kuangaliwa",1,10,"Swahili",0.000561797752808989,7,7
"354","si",1,2,"Swahili",0.000561797752808989,2,7
"355","mkosefu",1,7,"Swahili",0.000561797752808989,11,7
"356","mpaka",1,5,"Swahili",0.000561797752808989,7,7
"357","imethibitishwe",1,14,"Swahili",0.000561797752808989,5,7
"358","hatia",1,5,"Swahili",0.000561797752808989,6,7
