"","family","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"135","Indo-European","opressió",1,8,"Catalan",0.00142247510668563,11,7
"136","Indo-European","també",1,5,"Catalan",0.00142247510668563,6,7
"137","Indo-European","desenvolupament",1,15,"Catalan",0.00142247510668563,7,7
"138","Indo-European","relacions",1,9,"Catalan",0.00142247510668563,4,7
"139","Indo-European","amistoses",1,9,"Catalan",0.00142247510668563,12,7
"140","Indo-European","ratificat",1,9,"Catalan",0.00142247510668563,4,7
"141","Indo-European","Carta",1,5,"Catalan",0.00142247510668563,7,7
"142","Indo-European","fe",1,2,"Catalan",0.00142247510668563,6,7
"143","Indo-European","valor",1,5,"Catalan",0.00142247510668563,4,7
"144","Indo-European","homes",1,5,"Catalan",0.00142247510668563,1,7
"145","Indo-European","dones",1,5,"Catalan",0.00142247510668563,10,7
"146","Indo-European","decidit",1,7,"Catalan",0.00142247510668563,6,7
"147","Indo-European","progrés",1,7,"Catalan",0.00142247510668563,8,7
"148","Indo-European","millorar",1,8,"Catalan",0.00142247510668563,5,7
"149","Indo-European","nivell",1,6,"Catalan",0.00142247510668563,13,7
"150","Indo-European","dins",1,4,"Catalan",0.00142247510668563,7,7
"151","Indo-European","àmplia",1,6,"Catalan",0.00142247510668563,10,7
"152","Indo-European","compromès",1,9,"Catalan",0.00142247510668563,1,7
"153","Indo-European","assegurar",1,9,"Catalan",0.00142247510668563,3,7
"154","Indo-European","cooperació",1,10,"Catalan",0.00142247510668563,2,7
"155","Indo-European","Organització",1,12,"Catalan",0.00142247510668563,9,7
"156","Indo-European","universal",1,9,"Catalan",0.00142247510668563,4,7
"157","Indo-European","concepció",1,9,"Catalan",0.00142247510668563,6,7
"158","Indo-European","comuna",1,6,"Catalan",0.00142247510668563,7,7
"159","Indo-European","gran",1,4,"Catalan",0.00142247510668563,6,7
"160","Indo-European","importància",1,11,"Catalan",0.00142247510668563,2,7
"161","Indo-European","ple",1,3,"Catalan",0.00142247510668563,5,7
"162","Indo-European","compliment",1,10,"Catalan",0.00142247510668563,5,7
"163","Indo-European","aquest",1,6,"Catalan",0.00142247510668563,8,7
"164","Indo-European","compromís",1,9,"Catalan",0.00142247510668563,6,7
"165","Indo-European","Proclama",1,8,"Catalan",0.00142247510668563,10,7
"166","Indo-European","ideal",1,5,"Catalan",0.00142247510668563,6,8
"167","Indo-European","comú",1,4,"Catalan",0.00142247510668563,6,8
"168","Indo-European","assolir",1,7,"Catalan",0.00142247510668563,3,8
"169","Indo-European","fi",1,2,"Catalan",0.00142247510668563,7,8
"170","Indo-European","institució",1,10,"Catalan",0.00142247510668563,9,8
"171","Indo-European","inspirant",1,9,"Catalan",0.00142247510668563,8,8
"172","Indo-European","constantment",1,12,"Catalan",0.00142247510668563,5,8
"173","Indo-European","promoguin",1,9,"Catalan",0.00142247510668563,6,8
"174","Indo-European","mitjançant",1,10,"Catalan",0.00142247510668563,6,8
"175","Indo-European","ensenyament",1,11,"Catalan",0.00142247510668563,11,8
"176","Indo-European","educació",1,8,"Catalan",0.00142247510668563,3,8
"177","Indo-European","assegurin",1,9,"Catalan",0.00142247510668563,7,8
"178","Indo-European","mesures",1,7,"Catalan",0.00142247510668563,3,8
"179","Indo-European","progressives",1,12,"Catalan",0.00142247510668563,10,8
"180","Indo-European","internacionals",1,14,"Catalan",0.00142247510668563,7,8
"181","Indo-European","seu",1,3,"Catalan",0.00142247510668563,7,8
"182","Indo-European","aplicació",1,9,"Catalan",0.00142247510668563,3,8
"183","Indo-European","universals",1,10,"Catalan",0.00142247510668563,8,8
"184","Indo-European","efectius",1,8,"Catalan",0.00142247510668563,2,8
"185","Indo-European","territoris",1,10,"Catalan",0.00142247510668563,9,8
"186","Indo-European","jurisdicció",1,11,"Catalan",0.00142247510668563,5,8
"187","Indo-European","neixen",1,6,"Catalan",0.00142247510668563,12,8
"188","Indo-European","lliures",1,7,"Catalan",0.00142247510668563,7,8
"189","Indo-European","dotats",1,6,"Catalan",0.00142247510668563,11,8
"190","Indo-European","raó",1,3,"Catalan",0.00142247510668563,9,8
"191","Indo-European","comportar",1,9,"Catalan",0.00142247510668563,8,8
"192","Indo-European","fraternalment",1,13,"Catalan",0.00142247510668563,2,8
"193","Indo-European","uns",1,3,"Catalan",0.00142247510668563,6,8
"194","Indo-European","altres",1,6,"Catalan",0.00142247510668563,3,8
"195","Indo-European","proclamats",1,10,"Catalan",0.00142247510668563,5,8
"196","Indo-European","raça",1,4,"Catalan",0.00142247510668563,8,9
"197","Indo-European","color",1,5,"Catalan",0.00142247510668563,5,9
"198","Indo-European","sexe",1,4,"Catalan",0.00142247510668563,4,9
"199","Indo-European","llengua",1,7,"Catalan",0.00142247510668563,4,9
"200","Indo-European","religió",1,7,"Catalan",0.00142247510668563,12,9
"201","Indo-European","opinió",1,6,"Catalan",0.00142247510668563,8,9
"202","Indo-European","política",1,8,"Catalan",0.00142247510668563,9,9
"203","Indo-European","mena",1,4,"Catalan",0.00142247510668563,5,9
"204","Indo-European","origen",1,6,"Catalan",0.00142247510668563,5,9
"205","Indo-European","nacional",1,8,"Catalan",0.00142247510668563,9,9
"206","Indo-European","fortuna",1,7,"Catalan",0.00142247510668563,11,9
"207","Indo-European","naixement",1,9,"Catalan",0.00142247510668563,6,9
"208","Indo-European","condició",1,8,"Catalan",0.00142247510668563,4,9
"209","Indo-European","farà",1,4,"Catalan",0.00142247510668563,9,9
"210","Indo-European","basada",1,6,"Catalan",0.00142247510668563,5,9
"211","Indo-European","estatut",1,7,"Catalan",0.00142247510668563,2,9
"212","Indo-European","polític",1,7,"Catalan",0.00142247510668563,3,9
"213","Indo-European","jurídic",1,7,"Catalan",0.00142247510668563,6,9
"214","Indo-European","internacional",1,13,"Catalan",0.00142247510668563,8,9
